Cards: 235A4, Bid: 642, Strength: 1
Cards: 9TK25, Bid: 582, Strength: 1
Cards: 9TAK7, Bid: 567, Strength: 1
Cards: 9TAK8, Bid: 275, Strength: 1
Cards: 9JK46, Bid: 460, Strength: 1
Cards: 9QJ85, Bid: 611, Strength: 1
Cards: 9K4T6, Bid: 531, Strength: 1
Cards: 9K4AT, Bid: 693, Strength: 1
Cards: 9K5TQ, Bid: 579, Strength: 1
Cards: 9KA45, Bid: 44, Strength: 1
Cards: 9AQ27, Bid: 905, Strength: 1
Cards: 9AQT5, Bid: 409, Strength: 1
Cards: T2Q63, Bid: 975, Strength: 1
Cards: T358Q, Bid: 513, Strength: 1
Cards: T4928, Bid: 39, Strength: 1
Cards: T4K3Q, Bid: 1000, Strength: 1
Cards: T593J, Bid: 557, Strength: 1
Cards: T64KA, Bid: 335, Strength: 1
Cards: T674K, Bid: 945, Strength: 1
Cards: T74A8, Bid: 947, Strength: 1
Cards: T89KQ, Bid: 1, Strength: 1
Cards: T94A3, Bid: 254, Strength: 1
Cards: T9QA7, Bid: 38, Strength: 1
Cards: TJ63K, Bid: 727, Strength: 1
Cards: TJA83, Bid: 78, Strength: 1
Cards: TQK42, Bid: 955, Strength: 1
Cards: TQK97, Bid: 490, Strength: 1
Cards: TQAKJ, Bid: 111, Strength: 1
Cards: TK329, Bid: 856, Strength: 1
Cards: TK4Q8, Bid: 508, Strength: 1
Cards: TA397, Bid: 524, Strength: 1
Cards: TA3K5, Bid: 107, Strength: 1
Cards: TA438, Bid: 197, Strength: 1
Cards: J2TK7, Bid: 925, Strength: 1
Cards: J347T, Bid: 728, Strength: 1
Cards: J3729, Bid: 15, Strength: 1
Cards: J4K59, Bid: 690, Strength: 1
Cards: J62K5, Bid: 214, Strength: 1
Cards: J6825, Bid: 309, Strength: 1
Cards: J6KA3, Bid: 270, Strength: 1
Cards: J8529, Bid: 852, Strength: 1
Cards: J8734, Bid: 230, Strength: 1
Cards: J8K26, Bid: 163, Strength: 1
Cards: J935K, Bid: 505, Strength: 1
Cards: JK3T5, Bid: 711, Strength: 1
Cards: JK546, Bid: 315, Strength: 1
Cards: JK952, Bid: 145, Strength: 1
Cards: JAQ4T, Bid: 858, Strength: 1
Cards: Q2K6J, Bid: 851, Strength: 1
Cards: Q3T6J, Bid: 269, Strength: 1
Cards: Q52TK, Bid: 358, Strength: 1
Cards: Q563T, Bid: 977, Strength: 1
Cards: Q5J7K, Bid: 353, Strength: 1
Cards: Q684K, Bid: 53, Strength: 1
Cards: Q6987, Bid: 890, Strength: 1
Cards: Q6TJ9, Bid: 97, Strength: 1
Cards: Q6K52, Bid: 253, Strength: 1
Cards: Q6K82, Bid: 231, Strength: 1
Cards: Q7586, Bid: 719, Strength: 1
Cards: Q89K2, Bid: 389, Strength: 1
Cards: Q9J53, Bid: 754, Strength: 1
Cards: QJ8T5, Bid: 649, Strength: 1
Cards: QK58T, Bid: 40, Strength: 1
Cards: QK5J9, Bid: 133, Strength: 1
Cards: QKTA8, Bid: 400, Strength: 1
Cards: QKA3T, Bid: 476, Strength: 1
Cards: QA8K7, Bid: 926, Strength: 1
Cards: QAT39, Bid: 109, Strength: 1
Cards: K2369, Bid: 645, Strength: 1
Cards: K2495, Bid: 698, Strength: 1
Cards: K3972, Bid: 287, Strength: 1
Cards: K3Q5A, Bid: 766, Strength: 1
Cards: K3A97, Bid: 143, Strength: 1
Cards: K53A7, Bid: 2, Strength: 1
Cards: K67JT, Bid: 558, Strength: 1
Cards: K73JA, Bid: 72, Strength: 1
Cards: K7A89, Bid: 741, Strength: 1
Cards: K82T6, Bid: 463, Strength: 1
Cards: KTJ4Q, Bid: 755, Strength: 1
Cards: KQ493, Bid: 437, Strength: 1
Cards: KQ764, Bid: 837, Strength: 1
Cards: KA247, Bid: 913, Strength: 1
Cards: A256K, Bid: 26, Strength: 1
Cards: A2T58, Bid: 930, Strength: 1
Cards: A3J8Q, Bid: 678, Strength: 1
Cards: A3K65, Bid: 902, Strength: 1
Cards: A5289, Bid: 577, Strength: 1
Cards: A52J3, Bid: 886, Strength: 1
Cards: A623K, Bid: 780, Strength: 1
Cards: A65KQ, Bid: 188, Strength: 1
Cards: A6Q53, Bid: 548, Strength: 1
Cards: A7392, Bid: 753, Strength: 1
Cards: A75T2, Bid: 724, Strength: 1
Cards: A7J68, Bid: 488, Strength: 1
Cards: A8349, Bid: 815, Strength: 1
Cards: A83T7, Bid: 654, Strength: 1
Cards: A83K2, Bid: 634, Strength: 1
Cards: A85Q6, Bid: 978, Strength: 1
Cards: A9634, Bid: 904, Strength: 1
Cards: A9J28, Bid: 342, Strength: 1
Cards: AT423, Bid: 965, Strength: 1
Cards: AT5J9, Bid: 384, Strength: 1
Cards: AJ34Q, Bid: 419, Strength: 1
Cards: AJ957, Bid: 47, Strength: 1
Cards: AJQ98, Bid: 405, Strength: 1
Cards: AQ8K5, Bid: 55, Strength: 1
Cards: AK729, Bid: 823, Strength: 1
Cards: 225JT, Bid: 510, Strength: 2
Cards: 22J38, Bid: 569, Strength: 2
Cards: 22K65, Bid: 757, Strength: 2
Cards: 23QK2, Bid: 539, Strength: 2
Cards: 23K36, Bid: 216, Strength: 2
Cards: 2443K, Bid: 536, Strength: 2
Cards: 25286, Bid: 58, Strength: 2
Cards: 2668A, Bid: 150, Strength: 2
Cards: 27T2J, Bid: 189, Strength: 2
Cards: 27K55, Bid: 546, Strength: 2
Cards: 28JJ4, Bid: 408, Strength: 2
Cards: 2927K, Bid: 748, Strength: 2
Cards: 29396, Bid: 299, Strength: 2
Cards: 29733, Bid: 981, Strength: 2
Cards: 29752, Bid: 666, Strength: 2
Cards: 2TT9K, Bid: 980, Strength: 2
Cards: 2TQ9Q, Bid: 206, Strength: 2
Cards: 2JK44, Bid: 180, Strength: 2
Cards: 2Q294, Bid: 762, Strength: 2
Cards: 2QJ82, Bid: 658, Strength: 2
Cards: 2QKK6, Bid: 249, Strength: 2
Cards: 2KTT7, Bid: 545, Strength: 2
Cards: 2KTQT, Bid: 635, Strength: 2
Cards: 2KKQJ, Bid: 697, Strength: 2
Cards: 2KAT2, Bid: 317, Strength: 2
Cards: 336JA, Bid: 281, Strength: 2
Cards: 33A87, Bid: 880, Strength: 2
Cards: 35Q5T, Bid: 65, Strength: 2
Cards: 373JQ, Bid: 732, Strength: 2
Cards: 377J6, Bid: 73, Strength: 2
Cards: 37K39, Bid: 585, Strength: 2
Cards: 37KQ7, Bid: 495, Strength: 2
Cards: 39J34, Bid: 533, Strength: 2
Cards: 39KJJ, Bid: 613, Strength: 2
Cards: 3T384, Bid: 944, Strength: 2
Cards: 3TAJJ, Bid: 146, Strength: 2
Cards: 3J48J, Bid: 277, Strength: 2
Cards: 3K272, Bid: 235, Strength: 2
Cards: 3KJ2K, Bid: 650, Strength: 2
Cards: 3A6J6, Bid: 461, Strength: 2
Cards: 422QA, Bid: 222, Strength: 2
Cards: 4288K, Bid: 392, Strength: 2
Cards: 43Q32, Bid: 782, Strength: 2
Cards: 45K4T, Bid: 656, Strength: 2
Cards: 495Q5, Bid: 415, Strength: 2
Cards: 49T8T, Bid: 200, Strength: 2
Cards: 49J45, Bid: 286, Strength: 2
Cards: 4T6T9, Bid: 553, Strength: 2
Cards: 4T8TJ, Bid: 34, Strength: 2
Cards: 4J277, Bid: 630, Strength: 2
Cards: 4J453, Bid: 937, Strength: 2
Cards: 4J463, Bid: 338, Strength: 2
Cards: 4J5AA, Bid: 192, Strength: 2
Cards: 4A34T, Bid: 457, Strength: 2
Cards: 4AJA2, Bid: 759, Strength: 2
Cards: 527Q5, Bid: 466, Strength: 2
Cards: 529A5, Bid: 888, Strength: 2
Cards: 53Q93, Bid: 366, Strength: 2
Cards: 53A65, Bid: 328, Strength: 2
Cards: 5434T, Bid: 14, Strength: 2
Cards: 54527, Bid: 661, Strength: 2
Cards: 54Q4K, Bid: 676, Strength: 2
Cards: 55Q73, Bid: 723, Strength: 2
Cards: 56598, Bid: 906, Strength: 2
Cards: 56T5K, Bid: 60, Strength: 2
Cards: 57472, Bid: 550, Strength: 2
Cards: 57798, Bid: 393, Strength: 2
Cards: 592Q2, Bid: 307, Strength: 2
Cards: 5T2JT, Bid: 121, Strength: 2
Cards: 622JT, Bid: 480, Strength: 2
Cards: 62484, Bid: 398, Strength: 2
Cards: 62967, Bid: 745, Strength: 2
Cards: 62AK2, Bid: 221, Strength: 2
Cards: 63239, Bid: 584, Strength: 2
Cards: 643T4, Bid: 348, Strength: 2
Cards: 644QJ, Bid: 240, Strength: 2
Cards: 645QQ, Bid: 445, Strength: 2
Cards: 6465T, Bid: 694, Strength: 2
Cards: 65922, Bid: 751, Strength: 2
Cards: 68J26, Bid: 484, Strength: 2
Cards: 6J326, Bid: 347, Strength: 2
Cards: 6J576, Bid: 167, Strength: 2
Cards: 6Q67T, Bid: 268, Strength: 2
Cards: 72Q8Q, Bid: 10, Strength: 2
Cards: 7374Q, Bid: 113, Strength: 2
Cards: 74735, Bid: 239, Strength: 2
Cards: 7786K, Bid: 917, Strength: 2
Cards: 779Q4, Bid: 916, Strength: 2
Cards: 77J35, Bid: 659, Strength: 2
Cards: 7844T, Bid: 847, Strength: 2
Cards: 78Q79, Bid: 566, Strength: 2
Cards: 78K47, Bid: 865, Strength: 2
Cards: 79A9J, Bid: 20, Strength: 2
Cards: 7T5AT, Bid: 225, Strength: 2
Cards: 7T762, Bid: 883, Strength: 2
Cards: 7TKT5, Bid: 151, Strength: 2
Cards: 7J3Q7, Bid: 652, Strength: 2
Cards: 7J837, Bid: 390, Strength: 2
Cards: 7JTJ4, Bid: 141, Strength: 2
Cards: 7JJ85, Bid: 840, Strength: 2
Cards: 7K48K, Bid: 932, Strength: 2
Cards: 7K58K, Bid: 768, Strength: 2
Cards: 7K665, Bid: 646, Strength: 2
Cards: 7KJ8K, Bid: 651, Strength: 2
Cards: 7A33J, Bid: 993, Strength: 2
Cards: 7A55Q, Bid: 668, Strength: 2
Cards: 7A7QK, Bid: 241, Strength: 2
Cards: 7AQ44, Bid: 362, Strength: 2
Cards: 83632, Bid: 387, Strength: 2
Cards: 85663, Bid: 606, Strength: 2
Cards: 86348, Bid: 869, Strength: 2
Cards: 86649, Bid: 331, Strength: 2
Cards: 8676T, Bid: 454, Strength: 2
Cards: 87J7A, Bid: 908, Strength: 2
Cards: 88694, Bid: 923, Strength: 2
Cards: 89387, Bid: 839, Strength: 2
Cards: 899J3, Bid: 260, Strength: 2
Cards: 8T857, Bid: 912, Strength: 2
Cards: 8J6KK, Bid: 181, Strength: 2
Cards: 8J865, Bid: 660, Strength: 2
Cards: 8Q8TJ, Bid: 116, Strength: 2
Cards: 8QK2K, Bid: 507, Strength: 2
Cards: 8QATA, Bid: 877, Strength: 2
Cards: 8KT8J, Bid: 608, Strength: 2
Cards: 8A566, Bid: 244, Strength: 2
Cards: 9298A, Bid: 970, Strength: 2
Cards: 933Q7, Bid: 462, Strength: 2
Cards: 9344J, Bid: 749, Strength: 2
Cards: 93738, Bid: 112, Strength: 2
Cards: 93868, Bid: 136, Strength: 2
Cards: 944T2, Bid: 442, Strength: 2
Cards: 94A42, Bid: 516, Strength: 2
Cards: 955J8, Bid: 394, Strength: 2
Cards: 95J8J, Bid: 563, Strength: 2
Cards: 97QQ8, Bid: 870, Strength: 2
Cards: 98A78, Bid: 233, Strength: 2
Cards: 9947A, Bid: 306, Strength: 2
Cards: 9948T, Bid: 940, Strength: 2
Cards: 994AJ, Bid: 798, Strength: 2
Cards: 9954Q, Bid: 438, Strength: 2
Cards: 99T6Q, Bid: 816, Strength: 2
Cards: 99J74, Bid: 441, Strength: 2
Cards: 9J676, Bid: 95, Strength: 2
Cards: 9JT3T, Bid: 640, Strength: 2
Cards: 9ATTJ, Bid: 655, Strength: 2
Cards: T2QT7, Bid: 29, Strength: 2
Cards: T44AQ, Bid: 399, Strength: 2
Cards: T529T, Bid: 330, Strength: 2
Cards: T6733, Bid: 92, Strength: 2
Cards: T6TA5, Bid: 809, Strength: 2
Cards: T7388, Bid: 207, Strength: 2
Cards: T7445, Bid: 708, Strength: 2
Cards: T844K, Bid: 319, Strength: 2
Cards: T8JT9, Bid: 909, Strength: 2
Cards: T9Q88, Bid: 164, Strength: 2
Cards: TT24J, Bid: 820, Strength: 2
Cards: TT49K, Bid: 775, Strength: 2
Cards: TJTA2, Bid: 276, Strength: 2
Cards: TJK44, Bid: 289, Strength: 2
Cards: TK5QT, Bid: 931, Strength: 2
Cards: TK9JK, Bid: 68, Strength: 2
Cards: TKTQ7, Bid: 617, Strength: 2
Cards: J262Q, Bid: 124, Strength: 2
Cards: J3227, Bid: 743, Strength: 2
Cards: J32J6, Bid: 763, Strength: 2
Cards: J334K, Bid: 475, Strength: 2
Cards: J3K77, Bid: 718, Strength: 2
Cards: J47AJ, Bid: 45, Strength: 2
Cards: J493J, Bid: 294, Strength: 2
Cards: J5754, Bid: 836, Strength: 2
Cards: J6KJT, Bid: 677, Strength: 2
Cards: J75QQ, Bid: 436, Strength: 2
Cards: J7882, Bid: 159, Strength: 2
Cards: J9QQ7, Bid: 388, Strength: 2
Cards: JTAT5, Bid: 496, Strength: 2
Cards: JJT56, Bid: 521, Strength: 2
Cards: JJA87, Bid: 756, Strength: 2
Cards: JQQT7, Bid: 565, Strength: 2
Cards: JKQQ8, Bid: 36, Strength: 2
Cards: JA93A, Bid: 117, Strength: 2
Cards: JAJ6T, Bid: 517, Strength: 2
Cards: Q2T24, Bid: 302, Strength: 2
Cards: Q33JT, Bid: 195, Strength: 2
Cards: Q43KQ, Bid: 297, Strength: 2
Cards: Q4Q73, Bid: 941, Strength: 2
Cards: Q66KA, Bid: 130, Strength: 2
Cards: Q838T, Bid: 395, Strength: 2
Cards: Q966J, Bid: 371, Strength: 2
Cards: QT525, Bid: 792, Strength: 2
Cards: QJ899, Bid: 487, Strength: 2
Cards: QJKQ4, Bid: 987, Strength: 2
Cards: QQ396, Bid: 176, Strength: 2
Cards: QQ4JA, Bid: 134, Strength: 2
Cards: QQ5K7, Bid: 773, Strength: 2
Cards: QK44A, Bid: 872, Strength: 2
Cards: QK9KT, Bid: 812, Strength: 2
Cards: QKJ33, Bid: 368, Strength: 2
Cards: QKKA6, Bid: 298, Strength: 2
Cards: QA99K, Bid: 228, Strength: 2
Cards: K2699, Bid: 807, Strength: 2
Cards: K2JAJ, Bid: 357, Strength: 2
Cards: K3293, Bid: 784, Strength: 2
Cards: K4457, Bid: 165, Strength: 2
Cards: K4822, Bid: 489, Strength: 2
Cards: K63K2, Bid: 376, Strength: 2
Cards: K7273, Bid: 48, Strength: 2
Cards: K7JAA, Bid: 833, Strength: 2
Cards: K88TA, Bid: 82, Strength: 2
Cards: K8J28, Bid: 887, Strength: 2
Cards: KTT83, Bid: 100, Strength: 2
Cards: KJ755, Bid: 878, Strength: 2
Cards: KJK7T, Bid: 172, Strength: 2
Cards: KQ995, Bid: 322, Strength: 2
Cards: KK23T, Bid: 920, Strength: 2
Cards: KK248, Bid: 280, Strength: 2
Cards: KK3A7, Bid: 725, Strength: 2
Cards: KKJ89, Bid: 717, Strength: 2
Cards: KKQJ9, Bid: 361, Strength: 2
Cards: KAJ8K, Bid: 919, Strength: 2
Cards: A28Q8, Bid: 603, Strength: 2
Cards: A3TT2, Bid: 247, Strength: 2
Cards: A5J65, Bid: 551, Strength: 2
Cards: A6T36, Bid: 291, Strength: 2
Cards: A7J66, Bid: 339, Strength: 2
Cards: A833J, Bid: 420, Strength: 2
Cards: A8T6T, Bid: 212, Strength: 2
Cards: A9369, Bid: 483, Strength: 2
Cards: A9668, Bid: 401, Strength: 2
Cards: A96A3, Bid: 688, Strength: 2
Cards: AJ577, Bid: 333, Strength: 2
Cards: AA385, Bid: 894, Strength: 2
Cards: AA8Q7, Bid: 102, Strength: 2
Cards: AA9J6, Bid: 554, Strength: 2
Cards: 233K2, Bid: 506, Strength: 3
Cards: 23432, Bid: 293, Strength: 3
Cards: 25257, Bid: 873, Strength: 3
Cards: 252T5, Bid: 620, Strength: 3
Cards: 25J5J, Bid: 198, Strength: 3
Cards: 262A6, Bid: 63, Strength: 3
Cards: 26A6A, Bid: 416, Strength: 3
Cards: 277J2, Bid: 889, Strength: 3
Cards: 28248, Bid: 760, Strength: 3
Cards: 28K82, Bid: 850, Strength: 3
Cards: 2T32T, Bid: 974, Strength: 3
Cards: 2K5K5, Bid: 422, Strength: 3
Cards: 33565, Bid: 638, Strength: 3
Cards: 337JJ, Bid: 211, Strength: 3
Cards: 339Q9, Bid: 452, Strength: 3
Cards: 33JJK, Bid: 119, Strength: 3
Cards: 33QAA, Bid: 897, Strength: 3
Cards: 33KKT, Bid: 729, Strength: 3
Cards: 34534, Bid: 802, Strength: 3
Cards: 34T34, Bid: 530, Strength: 3
Cards: 34Q3Q, Bid: 433, Strength: 3
Cards: 3553J, Bid: 983, Strength: 3
Cards: 36223, Bid: 226, Strength: 3
Cards: 37232, Bid: 414, Strength: 3
Cards: 37376, Bid: 284, Strength: 3
Cards: 37J73, Bid: 503, Strength: 3
Cards: 38377, Bid: 425, Strength: 3
Cards: 383AA, Bid: 455, Strength: 3
Cards: 38839, Bid: 685, Strength: 3
Cards: 39636, Bid: 354, Strength: 3
Cards: 39773, Bid: 468, Strength: 3
Cards: 3T366, Bid: 201, Strength: 3
Cards: 3K3K7, Bid: 208, Strength: 3
Cards: 3K55K, Bid: 750, Strength: 3
Cards: 42545, Bid: 859, Strength: 3
Cards: 43234, Bid: 632, Strength: 3
Cards: 43463, Bid: 349, Strength: 3
Cards: 44699, Bid: 432, Strength: 3
Cards: 45456, Bid: 311, Strength: 3
Cards: 46645, Bid: 578, Strength: 3
Cards: 4774K, Bid: 303, Strength: 3
Cards: 4T6T4, Bid: 602, Strength: 3
Cards: 4TQQT, Bid: 985, Strength: 3
Cards: 4TKTK, Bid: 571, Strength: 3
Cards: 4AJJA, Bid: 21, Strength: 3
Cards: 4AK4K, Bid: 956, Strength: 3
Cards: 52992, Bid: 790, Strength: 3
Cards: 52J52, Bid: 910, Strength: 3
Cards: 544K5, Bid: 131, Strength: 3
Cards: 54884, Bid: 69, Strength: 3
Cards: 55JKK, Bid: 779, Strength: 3
Cards: 5TQ5Q, Bid: 921, Strength: 3
Cards: 5JJ5A, Bid: 101, Strength: 3
Cards: 5Q22Q, Bid: 154, Strength: 3
Cards: 5Q522, Bid: 938, Strength: 3
Cards: 5Q656, Bid: 514, Strength: 3
Cards: 626TT, Bid: 64, Strength: 3
Cards: 62KK6, Bid: 876, Strength: 3
Cards: 6336Q, Bid: 350, Strength: 3
Cards: 65576, Bid: 767, Strength: 3
Cards: 66242, Bid: 56, Strength: 3
Cards: 66299, Bid: 702, Strength: 3
Cards: 6633K, Bid: 726, Strength: 3
Cards: 66744, Bid: 808, Strength: 3
Cards: 668Q8, Bid: 352, Strength: 3
Cards: 66994, Bid: 686, Strength: 3
Cards: 67575, Bid: 397, Strength: 3
Cards: 686J8, Bid: 210, Strength: 3
Cards: 696J9, Bid: 227, Strength: 3
Cards: 6QQ44, Bid: 848, Strength: 3
Cards: 6QQKK, Bid: 946, Strength: 3
Cards: 6AA6Q, Bid: 791, Strength: 3
Cards: 72266, Bid: 529, Strength: 3
Cards: 75766, Bid: 637, Strength: 3
Cards: 7676K, Bid: 67, Strength: 3
Cards: 7788J, Bid: 682, Strength: 3
Cards: 79497, Bid: 570, Strength: 3
Cards: 7J755, Bid: 417, Strength: 3
Cards: 7J7JQ, Bid: 66, Strength: 3
Cards: 7AAQQ, Bid: 586, Strength: 3
Cards: 82826, Bid: 863, Strength: 3
Cards: 828TT, Bid: 976, Strength: 3
Cards: 83T8T, Bid: 737, Strength: 3
Cards: 85458, Bid: 806, Strength: 3
Cards: 86386, Bid: 716, Strength: 3
Cards: 87783, Bid: 543, Strength: 3
Cards: 88336, Bid: 6, Strength: 3
Cards: 88J99, Bid: 407, Strength: 3
Cards: 88Q55, Bid: 538, Strength: 3
Cards: 89984, Bid: 229, Strength: 3
Cards: 8J558, Bid: 351, Strength: 3
Cards: 8J833, Bid: 494, Strength: 3
Cards: 8Q78Q, Bid: 786, Strength: 3
Cards: 8QT8Q, Bid: 609, Strength: 3
Cards: 8K89K, Bid: 479, Strength: 3
Cards: 8A585, Bid: 999, Strength: 3
Cards: 8A7A8, Bid: 332, Strength: 3
Cards: 93553, Bid: 213, Strength: 3
Cards: 95Q5Q, Bid: 155, Strength: 3
Cards: 96446, Bid: 278, Strength: 3
Cards: 96967, Bid: 35, Strength: 3
Cards: 977J9, Bid: 950, Strength: 3
Cards: 98282, Bid: 829, Strength: 3
Cards: 996A6, Bid: 826, Strength: 3
Cards: 99JJ2, Bid: 443, Strength: 3
Cards: 9T92T, Bid: 144, Strength: 3
Cards: 9JQQ9, Bid: 715, Strength: 3
Cards: T5995, Bid: 929, Strength: 3
Cards: T5T52, Bid: 31, Strength: 3
Cards: T66T4, Bid: 30, Strength: 3
Cards: T66QT, Bid: 992, Strength: 3
Cards: T67T6, Bid: 105, Strength: 3
Cards: T77TA, Bid: 647, Strength: 3
Cards: T77QQ, Bid: 643, Strength: 3
Cards: T9K9T, Bid: 831, Strength: 3
Cards: TJ77J, Bid: 137, Strength: 3
Cards: TJAJT, Bid: 215, Strength: 3
Cards: TJAAT, Bid: 427, Strength: 3
Cards: TKJTK, Bid: 367, Strength: 3
Cards: TKQTK, Bid: 406, Strength: 3
Cards: TAA22, Bid: 673, Strength: 3
Cards: J2J88, Bid: 169, Strength: 3
Cards: J3663, Bid: 949, Strength: 3
Cards: J55JK, Bid: 610, Strength: 3
Cards: J66TT, Bid: 410, Strength: 3
Cards: J8484, Bid: 162, Strength: 3
Cards: J8T8T, Bid: 595, Strength: 3
Cards: J9922, Bid: 334, Strength: 3
Cards: J9J79, Bid: 860, Strength: 3
Cards: JT4T4, Bid: 403, Strength: 3
Cards: JTT99, Bid: 217, Strength: 3
Cards: JJ553, Bid: 379, Strength: 3
Cards: JJQTQ, Bid: 957, Strength: 3
Cards: JK99K, Bid: 892, Strength: 3
Cards: JAJ9A, Bid: 90, Strength: 3
Cards: JAAKK, Bid: 787, Strength: 3
Cards: Q6996, Bid: 527, Strength: 3
Cards: Q84Q4, Bid: 412, Strength: 3
Cards: QT22T, Bid: 120, Strength: 3
