Id: 1,  valid: true, sum: 1, red: 9, green: 3, blue:  4
Id: 46,  valid: false, sum: 504, red: 12, green: 16, blue:  9
Id: 47,  valid: false, sum: 504, red: 19, green: 20, blue:  3
Id: 48,  valid: false, sum: 504, red: 1, green: 19, blue:  4
Id: 49,  valid: true, sum: 553, red: 11, green: 13, blue:  4
Id: 50,  valid: true, sum: 603, red: 1, green: 2, blue:  11
Id: 51,  valid: true, sum: 654, red: 4, green: 10, blue:  1
Id: 52,  valid: true, sum: 706, red: 4, green: 1, blue:  11
Id: 53,  valid: true, sum: 759, red: 9, green: 7, blue:  10
Id: 54,  valid: true, sum: 813, red: 12, green: 5, blue:  3
Id: 55,  valid: false, sum: 813, red: 8, green: 16, blue:  18
Id: 56,  valid: true, sum: 869, red: 1, green: 7, blue:  2
Id: 57,  valid: false, sum: 869, red: 2, green: 16, blue:  5
Id: 58,  valid: true, sum: 927, red: 5, green: 10, blue:  6
Id: 59,  valid: false, sum: 927, red: 17, green: 11, blue:  14
Id: 60,  valid: true, sum: 987, red: 10, green: 11, blue:  13
Id: 61,  valid: false, sum: 987, red: 8, green: 13, blue:  18
Id: 62,  valid: true, sum: 1049, red: 12, green: 9, blue:  14
Id: 63,  valid: false, sum: 1049, red: 13, green: 11, blue:  11
Id: 64,  valid: false, sum: 1049, red: 17, green: 12, blue:  15
Id: 65,  valid: true, sum: 1114, red: 7, green: 1, blue:  8
Id: 66,  valid: false, sum: 1114, red: 3, green: 15, blue:  5
Id: 67,  valid: true, sum: 1181, red: 1, green: 6, blue:  2
Id: 68,  valid: false, sum: 1181, red: 19, green: 11, blue:  11
Id: 69,  valid: true, sum: 1250, red: 2, green: 10, blue:  7
Id: 70,  valid: false, sum: 1250, red: 7, green: 6, blue:  19
Id: 71,  valid: true, sum: 1321, red: 11, green: 13, blue:  14
Id: 72,  valid: false, sum: 1321, red: 13, green: 3, blue:  4
Id: 73,  valid: true, sum: 1394, red: 11, green: 12, blue:  8
Id: 74,  valid: true, sum: 1468, red: 11, green: 8, blue:  3
Id: 75,  valid: true, sum: 1543, red: 1, green: 2, blue:  9
Id: 76,  valid: true, sum: 1619, red: 6, green: 13, blue:  12
Id: 77,  valid: false, sum: 1619, red: 12, green: 15, blue:  5
Id: 78,  valid: false, sum: 1619, red: 5, green: 13, blue:  20
Id: 79,  valid: true, sum: 1698, red: 7, green: 1, blue:  7
Id: 80,  valid: false, sum: 1698, red: 3, green: 15, blue:  8
Id: 81,  valid: true, sum: 1779, red: 9, green: 9, blue:  4
Id: 82,  valid: true, sum: 1861, red: 5, green: 3, blue:  8
Id: 83,  valid: true, sum: 1944, red: 4, green: 10, blue:  1
Id: 84,  valid: false, sum: 1944, red: 16, green: 3, blue:  8
Id: 85,  valid: true, sum: 2029, red: 8, green: 5, blue:  4
Id: 86,  valid: false, sum: 2029, red: 12, green: 15, blue:  16
Id: 87,  valid: true, sum: 2116, red: 1, green: 6, blue:  5
Id: 88,  valid: true, sum: 2204, red: 11, green: 3, blue:  6
Id: 89,  valid: false, sum: 2204, red: 5, green: 16, blue:  9
Id: 90,  valid: true, sum: 2294, red: 4, green: 11, blue:  2
Id: 91,  valid: true, sum: 2385, red: 8, green: 3, blue:  6
Id: 92,  valid: true, sum: 2477, red: 8, green: 8, blue:  11
Id: 93,  valid: false, sum: 2477, red: 13, green: 8, blue:  9
Id: 94,  valid: true, sum: 2571, red: 8, green: 5, blue:  10
Id: 95,  valid: true, sum: 2666, red: 8, green: 12, blue:  8
Id: 96,  valid: true, sum: 2762, red: 3, green: 13, blue:  8
Id: 97,  valid: false, sum: 2762, red: 6, green: 18, blue:  3
Id: 98,  valid: true, sum: 2860, red: 8, green: 3, blue:  2
Id: 99,  valid: true, sum: 2959, red: 2, green: 11, blue:  7
Id: 100,  valid: true, sum: 3059, red: 8, green: 13, blue:  7
