Id: 1, sum: 108, power: 108, red: 9, green: 3, blue:  4
Id: 32, sum: 16410, power: 300, red: 15, green: 5, blue:  4
Id: 33, sum: 16450, power: 40, red: 4, green: 1, blue:  10
Id: 34, sum: 17126, power: 676, red: 13, green: 4, blue:  13
Id: 35, sum: 17812, power: 686, red: 14, green: 7, blue:  7
Id: 36, sum: 18532, power: 720, red: 8, green: 9, blue:  10
Id: 37, sum: 19702, power: 1170, red: 9, green: 13, blue:  10
Id: 38, sum: 20998, power: 1296, red: 6, green: 12, blue:  18
Id: 39, sum: 21073, power: 75, red: 15, green: 5, blue:  1
Id: 40, sum: 21857, power: 784, red: 7, green: 8, blue:  14
Id: 41, sum: 21957, power: 100, red: 10, green: 10, blue:  1
Id: 42, sum: 22309, power: 352, red: 16, green: 11, blue:  2
Id: 43, sum: 23893, power: 1584, red: 9, green: 11, blue:  16
Id: 44, sum: 26053, power: 2160, red: 9, green: 20, blue:  12
Id: 45, sum: 26063, power: 10, red: 1, green: 5, blue:  2
Id: 46, sum: 27791, power: 1728, red: 12, green: 16, blue:  9
Id: 47, sum: 28931, power: 1140, red: 19, green: 20, blue:  3
Id: 48, sum: 29007, power: 76, red: 1, green: 19, blue:  4
Id: 49, sum: 29579, power: 572, red: 11, green: 13, blue:  4
Id: 50, sum: 29601, power: 22, red: 1, green: 2, blue:  11
Id: 51, sum: 29641, power: 40, red: 4, green: 10, blue:  1
Id: 52, sum: 29685, power: 44, red: 4, green: 1, blue:  11
Id: 53, sum: 30315, power: 630, red: 9, green: 7, blue:  10
Id: 54, sum: 30495, power: 180, red: 12, green: 5, blue:  3
Id: 55, sum: 32799, power: 2304, red: 8, green: 16, blue:  18
Id: 56, sum: 32813, power: 14, red: 1, green: 7, blue:  2
Id: 57, sum: 32973, power: 160, red: 2, green: 16, blue:  5
Id: 58, sum: 33273, power: 300, red: 5, green: 10, blue:  6
Id: 59, sum: 35891, power: 2618, red: 17, green: 11, blue:  14
Id: 60, sum: 37321, power: 1430, red: 10, green: 11, blue:  13
Id: 61, sum: 39193, power: 1872, red: 8, green: 13, blue:  18
Id: 62, sum: 40705, power: 1512, red: 12, green: 9, blue:  14
Id: 63, sum: 42278, power: 1573, red: 13, green: 11, blue:  11
Id: 64, sum: 45338, power: 3060, red: 17, green: 12, blue:  15
Id: 65, sum: 45394, power: 56, red: 7, green: 1, blue:  8
Id: 66, sum: 45619, power: 225, red: 3, green: 15, blue:  5
Id: 67, sum: 45631, power: 12, red: 1, green: 6, blue:  2
Id: 68, sum: 47930, power: 2299, red: 19, green: 11, blue:  11
Id: 69, sum: 48070, power: 140, red: 2, green: 10, blue:  7
Id: 70, sum: 48868, power: 798, red: 7, green: 6, blue:  19
Id: 71, sum: 50870, power: 2002, red: 11, green: 13, blue:  14
Id: 72, sum: 51026, power: 156, red: 13, green: 3, blue:  4
Id: 73, sum: 52082, power: 1056, red: 11, green: 12, blue:  8
Id: 74, sum: 52346, power: 264, red: 11, green: 8, blue:  3
Id: 75, sum: 52364, power: 18, red: 1, green: 2, blue:  9
Id: 76, sum: 53300, power: 936, red: 6, green: 13, blue:  12
Id: 77, sum: 54200, power: 900, red: 12, green: 15, blue:  5
Id: 78, sum: 55500, power: 1300, red: 5, green: 13, blue:  20
Id: 79, sum: 55549, power: 49, red: 7, green: 1, blue:  7
Id: 80, sum: 55909, power: 360, red: 3, green: 15, blue:  8
Id: 81, sum: 56233, power: 324, red: 9, green: 9, blue:  4
Id: 82, sum: 56353, power: 120, red: 5, green: 3, blue:  8
Id: 83, sum: 56393, power: 40, red: 4, green: 10, blue:  1
Id: 84, sum: 56777, power: 384, red: 16, green: 3, blue:  8
Id: 85, sum: 56937, power: 160, red: 8, green: 5, blue:  4
Id: 86, sum: 59817, power: 2880, red: 12, green: 15, blue:  16
Id: 87, sum: 59847, power: 30, red: 1, green: 6, blue:  5
Id: 88, sum: 60045, power: 198, red: 11, green: 3, blue:  6
Id: 89, sum: 60765, power: 720, red: 5, green: 16, blue:  9
Id: 90, sum: 60853, power: 88, red: 4, green: 11, blue:  2
Id: 91, sum: 60997, power: 144, red: 8, green: 3, blue:  6
Id: 92, sum: 61701, power: 704, red: 8, green: 8, blue:  11
Id: 93, sum: 62637, power: 936, red: 13, green: 8, blue:  9
Id: 94, sum: 63037, power: 400, red: 8, green: 5, blue:  10
Id: 95, sum: 63805, power: 768, red: 8, green: 12, blue:  8
Id: 96, sum: 64117, power: 312, red: 3, green: 13, blue:  8
Id: 97, sum: 64441, power: 324, red: 6, green: 18, blue:  3
Id: 98, sum: 64489, power: 48, red: 8, green: 3, blue:  2
Id: 99, sum: 64643, power: 154, red: 2, green: 11, blue:  7
Id: 100, sum: 65371, power: 728, red: 8, green: 13, blue:  7
